,jancd,itemnm,scat1cd,scat1nm,scat2cd,scat2nm,scat3cd,scat3nm,scat4cd,scat4nm,scatnm,makercd,makernm,itemkikaku,jan_2digits,jan_３digits,jan_3digits
53,8200077337,S ｸﾗｳﾝ･ﾛｰﾔﾙ ﾉｰｻﾞﾝﾊｰﾍﾞｽﾄ ﾗｲ 45ﾟ 750ml,014,飲料･酒類,051,ﾜｲﾝ・甘味果実酒,,,,,ﾜｲﾝ・甘味果実酒,,,0,82,820,820
70,8115836,２０１３　夏の頒布会　３００ｍｌ×６本,014,飲料･酒類,089,ｷﾞﾌﾄ他,,,,,ｷﾞﾌﾄ他,,,0,81,811,811
100,2780,飲みごたえセット　２４,014,飲料･酒類,089,ｷﾞﾌﾄ他,,,,,ｷﾞﾌﾄ他,,,0,27,278,278
138,220101,ダミー【酒　清酒　清酒】,014,飲料･酒類,001,清酒,,,,,清酒,,,0,22,220,220
149,2824,３５８０セット　５８,014,飲料･酒類,089,ｷﾞﾌﾄ他,,,,,ｷﾞﾌﾄ他,,,0,28,282,282
168,8012013360,S ｱﾙﾏﾃﾞﾝ･ｸﾗｼｯｸ･ﾎﾜｲﾄ 5L,014,飲料･酒類,051,ﾜｲﾝ・甘味果実酒,,,,,ﾜｲﾝ・甘味果実酒,,,0,80,801,801
187,661,手打ち　酒,014,飲料･酒類,099,ｱﾙｺｰﾙ飲料不明,,,,,ｱﾙｺｰﾙ飲料不明,,,0,66,661,661
189,3137017,アンリ・フェッシ　ボージョレ・ロゼ２本セット 750ml*2,014,飲料･酒類,051,ﾜｲﾝ・甘味果実酒,,,,,ﾜｲﾝ・甘味果実酒,,,1500,31,313,313
270,8524650010,メーカーズマーク４６　４７度　７５０ｍｌ　　　　　　　　　　　　　　　　　　　　,014,飲料･酒類,051,ﾜｲﾝ・甘味果実酒,,,,,ﾜｲﾝ・甘味果実酒,,,750,85,852,852
273,8811015860,キリンビール　　タンカレーナンバー１０　７５０ＭＬ,014,飲料･酒類,081,ｽﾋﾟﾘｯﾂ・ﾘｷｭｰﾙ,,,,,ｽﾋﾟﾘｯﾂ・ﾘｷｭｰﾙ,,,0,88,881,881
293,8139146,お酒　お酒の福箱,014,飲料･酒類,,,,,,,飲料･酒類,,,0,81,813,813
316,338,キッコーマン　芳醇本みりんセット　ＫＭＤ?３０Ｈ,014,飲料･酒類,031,みりん,,,,,みりん,,,0,33,338,338
320,8153067,２０１３　頒布会　３００ｍｌ×６本,014,飲料･酒類,089,ｷﾞﾌﾄ他,,,,,ｷﾞﾌﾄ他,,,0,81,815,815
346,8143419,人気一　福島の風出逢いセット　７２０ｍｌ×２本,014,飲料･酒類,089,ｷﾞﾌﾄ他,,,,,ｷﾞﾌﾄ他,,,0,81,814,814
347,1235401027,オーストラリア産リトルペンギンピノノワール　　　　　　　　　　　　　　　　　　　,014,飲料･酒類,051,ﾜｲﾝ・甘味果実酒,,,,,ﾜｲﾝ・甘味果実酒,,,0,12,123,123
377,738,御坂　マスカットベリーＡ　予約,014,飲料･酒類,051,ﾜｲﾝ・甘味果実酒,,,,,ﾜｲﾝ・甘味果実酒,,,0,73,738,738
402,229901,ダミー【酒　部門打ち　部門打ち】,014,飲料･酒類,,,,,,,飲料･酒類,,,0,22,229,229
404,8143136,あさ開　銘酒５本セット　３００ｍｌ×５本,014,飲料･酒類,089,ｷﾞﾌﾄ他,,,,,ｷﾞﾌﾄ他,,,0,81,814,814
441,1235401032,リトルペンギンピノグリージオ（白）,014,飲料･酒類,051,ﾜｲﾝ・甘味果実酒,,,,,ﾜｲﾝ・甘味果実酒,,,0,12,123,123
465,900006,越乃寒梅７２０ｍｌ,014,飲料･酒類,001,清酒,,,,,清酒,,,0,90,900,900
468,9000025,中々,014,飲料･酒類,021,焼酎,,,,,焼酎,,,0,90,900,900
479,3136959,アンリ・フェッシ　ボージョレヴィラージュヌーヴォ 750ml,014,飲料･酒類,051,ﾜｲﾝ・甘味果実酒,,,,,ﾜｲﾝ・甘味果実酒,,,750,31,313,313
502,8158208,酒蔵　親父セット　７２０ｍｌ×２本,014,飲料･酒類,089,ｷﾞﾌﾄ他,,,,,ｷﾞﾌﾄ他,,,0,81,815,815
511,9674903155,S ﾗｰｾﾆｨ ｽﾍﾟｼｬﾙ･ｽﾓｰﾙﾊﾞｯﾁ 46ﾟ 750ml,014,飲料･酒類,051,ﾜｲﾝ・甘味果実酒,,,,,ﾜｲﾝ・甘味果実酒,,,0,96,967,967
542,62352,レベラシオンシャトー,014,飲料･酒類,051,ﾜｲﾝ・甘味果実酒,,,,,ﾜｲﾝ・甘味果実酒,,,0,62,623,623
547,220401,ダミー【酒  ウイスキー  ウイスキー】,014,飲料･酒類,061,ｳｲｽｷｰ(ﾆｭｰｽﾋﾟﾘｯﾂ含),,,,,ｳｲｽｷｰ(ﾆｭｰｽﾋﾟﾘｯﾂ含),,,0,22,220,220
548,8024400201,S ﾌﾞﾗﾝﾄﾝ ｽﾄﾚｰﾄ ﾌﾛﾑ ｻﾞ ﾊﾞﾚﾙ 約60ﾟ 700ml B,014,飲料･酒類,061,ｳｲｽｷｰ(ﾆｭｰｽﾋﾟﾘｯﾂ含),,,,,ｳｲｽｷｰ(ﾆｭｰｽﾋﾟﾘｯﾂ含),,,0,80,802,802
592,1235388,ｲﾓｼｮｳﾁｭｳ･ｻﾂﾏｱｹﾞｾｯﾄMA-50,014,飲料･酒類,089,ｷﾞﾌﾄ他,,,,,ｷﾞﾌﾄ他,,,0,12,123,123
613,8620893020,S ﾋﾟｰﾀｰ･ﾒﾙﾃｽ ﾖｰｾﾞﾋ･ﾊﾝﾄﾞﾗｰ ﾘｰｽﾘﾝｸﾞ 750ml,014,飲料･酒類,051,ﾜｲﾝ・甘味果実酒,,,,,ﾜｲﾝ・甘味果実酒,,,0,86,862,862
617,49331000389,,014,飲料･酒類,051,ﾜｲﾝ・甘味果実酒,,,,,ﾜｲﾝ・甘味果実酒,,,750,49,493,493
661,8158178,酒蔵　稲葉ギフトセット　７５０ｍｌ×３本,014,飲料･酒類,089,ｷﾞﾌﾄ他,,,,,ｷﾞﾌﾄ他,,,0,81,815,815
667,3901,アサヒビ　アンリボジョレヴィラージュ（予約用）　７５０ＭＬ,014,飲料･酒類,051,ﾜｲﾝ・甘味果実酒,,,,,ﾜｲﾝ・甘味果実酒,,,750,39,390,390
719,4038,「全国酒類コンクール１位受賞セット」,014,飲料･酒類,089,ｷﾞﾌﾄ他,,,,,ｷﾞﾌﾄ他,,,0,40,403,403
721,220301,ダミー【酒　ビール　ビールバラ】,014,飲料･酒類,041,ﾋﾞｰﾙ･発泡酒,,,,,ﾋﾞｰﾙ･発泡酒,,,0,22,220,220
741,8524617156,米産　メーカーズマーク４５度　５０ｍｌ　　　　　　　　　　　　　　　　　　　　　,014,飲料･酒類,061,ｳｲｽｷｰ(ﾆｭｰｽﾋﾟﾘｯﾂ含),,,,,ｳｲｽｷｰ(ﾆｭｰｽﾋﾟﾘｯﾂ含),,,0,85,852,852
756,3136942,アンリ・フェッシ　ボージョレヌーヴォ 750ml,014,飲料･酒類,051,ﾜｲﾝ・甘味果実酒,,,,,ﾜｲﾝ・甘味果実酒,,,750,31,313,313
762,8112802316,S ｶﾅﾃﾞｨｱﾝﾐｽﾄ 40ﾟ 750ml,014,飲料･酒類,051,ﾜｲﾝ・甘味果実酒,,,,,ﾜｲﾝ・甘味果実酒,,,0,81,811,811
765,9674900006,S ｴﾗｲｼﾞｬ･ｸﾚｲｸﾞ47ﾟ750ml,014,飲料･酒類,051,ﾜｲﾝ・甘味果実酒,,,,,ﾜｲﾝ・甘味果実酒,,,750,96,967,967
794,8700030133,日本リカー　　　トリンバック　シルバーナー,014,飲料･酒類,051,ﾜｲﾝ・甘味果実酒,,,,,ﾜｲﾝ・甘味果実酒,,,0,87,870,870
797,8066014035,ケンタッキー　　ジェントルマン　　　７５０ｍＬ,014,飲料･酒類,061,ｳｲｽｷｰ(ﾆｭｰｽﾋﾟﾘｯﾂ含),,,,,ｳｲｽｷｰ(ﾆｭｰｽﾋﾟﾘｯﾂ含),,,0,80,806,806
824,3136973,アンリ・フェッシ　マコンヴィラージュヌーヴォ 750ml,014,飲料･酒類,051,ﾜｲﾝ・甘味果実酒,,,,,ﾜｲﾝ・甘味果実酒,,,750,31,313,313
834,8854401935,S ｻｻﾞﾝ ｶﾑﾌｫｰﾄ 21ﾟ750ml,014,飲料･酒類,051,ﾜｲﾝ・甘味果実酒,,,,,ﾜｲﾝ・甘味果実酒,,,750,88,885,885
853,8237637,オリジナル　ワンカップセット　２００ｍｌ,014,飲料･酒類,,,,,,,飲料･酒類,,,0,82,823,823
857,7418600000,父母：エビストリプルセツトＹＳＢ３Ｄ,014,飲料･酒類,089,ｷﾞﾌﾄ他,,,,,ｷﾞﾌﾄ他,,,0,74,741,741
930,8158413,酒蔵　七福神セット　７２０ｍｌ×３本,014,飲料･酒類,089,ｷﾞﾌﾄ他,,,,,ｷﾞﾌﾄ他,,,0,81,815,815
951,877330,S ｼｰｸﾞﾗﾑ 7 ｸﾗｳﾝ40ﾟ750ml,014,飲料･酒類,051,ﾜｲﾝ・甘味果実酒,,,,,ﾜｲﾝ・甘味果実酒,,,0,87,877,877
977,732,ヴィノ・ノヴェッロ　予約,014,飲料･酒類,051,ﾜｲﾝ・甘味果実酒,,,,,ﾜｲﾝ・甘味果実酒,,,0,73,732,732
980,8835211200,S ｲｴﾛｰｽﾄｰﾝ 45° 750ml,014,飲料･酒類,051,ﾜｲﾝ・甘味果実酒,,,,,ﾜｲﾝ・甘味果実酒,,,0,88,883,883
996,8158550,酒蔵　軍艦島セット　７２０ｍｌ×２本,014,飲料･酒類,089,ｷﾞﾌﾄ他,,,,,ｷﾞﾌﾄ他,,,0,81,815,815
1035,8158376,酒蔵　極上吉乃川２本セット　７２０ｍｌ×２本,014,飲料･酒類,089,ｷﾞﾌﾄ他,,,,,ｷﾞﾌﾄ他,,,0,81,815,815
1057,8158581,酒蔵　高畠ルオールセット　７２０ｍｌ×２本,014,飲料･酒類,089,ｷﾞﾌﾄ他,,,,,ｷﾞﾌﾄ他,,,0,81,815,815
1061,3137000,アンリ・フェッシレイシエールＢヴィラージュヌーヴォ 750ml,014,飲料･酒類,051,ﾜｲﾝ・甘味果実酒,,,,,ﾜｲﾝ・甘味果実酒,,,750,31,313,313
1089,8237590,オリジナル　お酒ギフト２,014,飲料･酒類,089,ｷﾞﾌﾄ他,,,,,ｷﾞﾌﾄ他,,,0,82,823,823
1123,8158475,酒蔵　天甕セット　１４７０ｍｌ,014,飲料･酒類,089,ｷﾞﾌﾄ他,,,,,ｷﾞﾌﾄ他,,,0,81,815,815
1166,8559213045,S ﾀﾗﾝﾁｭﾗ ｽﾄﾛﾍﾞﾘｰ35ﾟ750ml,014,飲料･酒類,051,ﾜｲﾝ・甘味果実酒,,,,,ﾜｲﾝ・甘味果実酒,,,0,85,855,855
1227,8124010050,デイオブザデッド　ポーター　３３０ｍｌ　　　　　　　　　　　　　　　　　　　　　,014,飲料･酒類,081,ｽﾋﾟﾘｯﾂ・ﾘｷｭｰﾙ,,,,,ｽﾋﾟﾘｯﾂ・ﾘｷｭｰﾙ,,,0,81,812,812
1273,9100756,宝　カジュアルみりんギフト　　3600㍉㍑,014,飲料･酒類,031,みりん,,,,,みりん,,,0,91,910,910
1281,3136980,アンリフェッシ　ヌーヴォロゼ 750ml,014,飲料･酒類,051,ﾜｲﾝ・甘味果実酒,,,,,ﾜｲﾝ・甘味果実酒,,,750,31,313,313
1287,5448524,ﾄﾞﾝﾍﾟﾘﾆﾖﾝｼﾛｱｶｷﾘｼﾏｾｯﾄ750･900ml,014,飲料･酒類,051,ﾜｲﾝ・甘味果実酒,,,,,ﾜｲﾝ・甘味果実酒,,,0,54,544,544
1302,8158352,酒蔵　銘酒セット　７２０ｍｌ×２本,014,飲料･酒類,089,ｷﾞﾌﾄ他,,,,,ｷﾞﾌﾄ他,,,0,81,815,815
1303,8237521,オリジナル　お酒ギフト,014,飲料･酒類,089,ｷﾞﾌﾄ他,,,,,ｷﾞﾌﾄ他,,,0,82,823,823
1307,3136997,アンリ・フェッシ　ヴィラージュヌーヴォＶＶ 750ml,014,飲料･酒類,051,ﾜｲﾝ・甘味果実酒,,,,,ﾜｲﾝ・甘味果実酒,,,750,31,313,313
1339,88,商品名未登録,014,飲料･酒類,099,ｱﾙｺｰﾙ飲料不明,,,,,ｱﾙｺｰﾙ飲料不明,,,0,88,88,88
1341,3136935,アンリ・フェッシ　ボージョレヌーヴォ 375ml,014,飲料･酒類,051,ﾜｲﾝ・甘味果実酒,,,,,ﾜｲﾝ・甘味果実酒,,,375,31,313,313
1342,3136966,アンリ・フェッシ　ボージョレヴィラージュヌーヴォ 375ml,014,飲料･酒類,051,ﾜｲﾝ・甘味果実酒,,,,,ﾜｲﾝ・甘味果実酒,,,0,31,313,313
1355,8112800799,S ｱｰﾘｰﾀｲﾑｽﾞｲｴﾛｰ40ﾟﾘｯﾀｰ瓶 1L,014,飲料･酒類,061,ｳｲｽｷｰ(ﾆｭｰｽﾋﾟﾘｯﾂ含),,,,,ｳｲｽｷｰ(ﾆｭｰｽﾋﾟﾘｯﾂ含),,,0,81,811,811
1371,9953,伊勢萬　光年ギフトセット,014,飲料･酒類,089,ｷﾞﾌﾄ他,,,,,ｷﾞﾌﾄ他,,,0,99,995,995
1390,8835211334,S ｴｽﾞﾗﾌﾞﾙｯｸｽ ﾎﾜｲﾄ 40ﾟ 700ml B,014,飲料･酒類,061,ｳｲｽｷｰ(ﾆｭｰｽﾋﾟﾘｯﾂ含),,,,,ｳｲｽｷｰ(ﾆｭｰｽﾋﾟﾘｯﾂ含),,,0,88,883,883
1432,8158390,酒蔵　東光正宗＆日光響セット　７２０ｍｌ×２本,014,飲料･酒類,089,ｷﾞﾌﾄ他,,,,,ｷﾞﾌﾄ他,,,0,81,815,815
1511,221301,ダミー【酒　リキュール　普通リキュール】,014,飲料･酒類,,,,,,,飲料･酒類,,,0,22,221,221
1513,3114025,伊那谷八蔵　飲みくらべセットＡ１５夏伊那小売酒販組,014,飲料･酒類,089,ｷﾞﾌﾄ他,,,,,ｷﾞﾌﾄ他,,,0,31,311,311
1534,221406,ダミー【酒　雑種　その他】,014,飲料･酒類,,,,,,,飲料･酒類,,,0,22,221,221
1578,8700000713,マイヤーズラム,014,飲料･酒類,081,ｽﾋﾟﾘｯﾂ・ﾘｷｭｰﾙ,,,,,ｽﾋﾟﾘｯﾂ・ﾘｷｭｰﾙ,,,0,87,870,870
1587,8252432,北海道麦酒　北海道ＨＢハスカップ　２００ｍｌ,014,飲料･酒類,081,ｽﾋﾟﾘｯﾂ・ﾘｷｭｰﾙ,005,RTS,,,RTS,,,200,82,825,825
1590,1599865,'フルーツとハーブのお酒香る白桃と杏仁300ML×2本,014,飲料･酒類,081,ｽﾋﾟﾘｯﾂ・ﾘｷｭｰﾙ,005,RTS,,,RTS,,,600,15,159,159
1599,W605488,養命酒製造 フルーツとハーブのお酒_ライチとカモミール_３００ｍｌ×２４,014,飲料･酒類,081,ｽﾋﾟﾘｯﾂ・ﾘｷｭｰﾙ,005,RTS,,,RTS,,,7200,W6,W60,W60
1603,1599856,'フルーツとハーブのお酒すっきりレモンとローズマリー300ML×2本,014,飲料･酒類,081,ｽﾋﾟﾘｯﾂ・ﾘｷｭｰﾙ,005,RTS,,,RTS,,,600,15,159,159
1619,W605487,養命酒製造 フルーツとハーブのお酒_ピンクグレープフルーツとジンジャー_２５０ｍｌ×３０,014,飲料･酒類,081,ｽﾋﾟﾘｯﾂ・ﾘｷｭｰﾙ,005,RTS,,,RTS,,,7500,W6,W60,W60
1655,1729283,八海山　清酒３００ｍｌ　５本箱詰　　　　１５００ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,1500,17,172,172
1891,5568093,慶　一升瓶　1.8L,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,1800,55,556,556
1894,8112286,諸橋　越乃景虎本醸造　１８００ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,1800,81,811,811
1895,8156990,菊水　四段仕込本醸造　　７２０ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,720,81,815,815
1896,8249708,住乃井　米だけでつくった酒　２０００ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,2000,82,824,824
1897,8272157,奥の松　特別純米原酒ひやおろし　１８００ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,1800,82,827,827
2152,8105158,ほまれ　会津ほまれ　１８００ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,1800,81,810,810
2154,8593641,西本）越乃寒梅白ﾗﾍﾞﾙ1本箱入,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,0,85,859,859
2401,5510702,県別清酒　４合瓶　１　720ML,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,720,55,551,551
2402,8157454,夢心　純米酒　７２０ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,720,81,815,815
2403,8167187,人気一　青人気吟醸　７２０ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,720,81,816,816
2404,8226075,ほまれ　純米大吟醸極　１８００ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,1800,82,822,822
2405,8269164,朝日　久保田純米大吟醸　７２０ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,720,82,826,826
2507,3910931,朝日酒造久保田碧寿山廃大,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,0,39,391,391
2508,3914991,石本酒造越乃寒梅特別本醸,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,0,39,391,391
2677,50708,越の寒梅　別撰１８００ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,0,50,507,507
2680,7401800000,父母：全国地酒飲みくらべ５本セット,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,0,74,740,740
2682,8117557,大七　純米生もと　７２０ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,720,81,811,811
2683,8134882,人気一　ゴールド人気純米大吟醸　７２０ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,720,81,813,813
2703,14809,社販　高清水大吟醸嘉兆７２０ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,0,14,148,148
2953,8103253,栄川　特醸栄川カップ　１８０ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,180,81,810,810
2954,8116505,名倉山　会津名倉山　１８００ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,1800,81,811,811
2955,8121806,菊水　純米酒　１８００ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,1800,81,812,812
2956,8127143,國権　純米生貯蔵酒國権てふ　３００ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,300,81,812,812
2957,8189677,奥の松　金紋パック　２０００ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,2000,81,818,818
2958,8217868,三和　臥龍梅純米吟醸　３００ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,300,82,821,821
2959,8265951,加藤酒造　五百万石　２０００ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,2000,82,826,826
2963,912,朝日酒造　越乃かぎろい　百寿純米　１８００ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,0,91,912,912
2973,0119548,酒井酒造 地酒_岩国純米酒_７２０ｍｌ×２,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,1440,01,011,011
2987,1110289,宮尾酒造　〆張鶴　雪　１．８Ｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,0,11,111,111
3065,2459226,長者盛　本醸造　２×３　　　　　　　　　３６００ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,3600,24,245,245
3066,294676,赤城山　飲み比べセット　３００ＭＬ×６,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,0,29,294,294
3067,305372102,西の関　手造り純米酒　３００ＭＬ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,300,30,305,305
3068,3372,千代鶴　純米吟醸　秋川渓谷,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,0,33,337,337
3070,3910825,獺祭純米大吟醸二割三分,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,0,39,391,391
3244,5713,越乃寒梅別撰特別本醸造,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,720,57,571,571
3246,8147943,大七　限定Ｂ　　１８００ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,1800,81,814,814
3247,8157157,自然郷　さわやか本醸造　　７２０ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,720,81,815,815
3248,8196507,神楽　天孫降臨　１８００ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,1800,81,819,819
3252,J291806,八重寿銘醸 地酒_白神山地の四季大吟醸・特別純米酒セット,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,0,J2,J29,J29
3515,8120397,國権　純米酒　７２０ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,720,81,812,812
3516,8133847,一ノ蔵　特別純米酒辛口　１８００ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,1800,81,813,813
3517,8138965,盛田　ぐいのすけ　２０００ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,2000,81,813,813
3518,8174611,菊水　ふなぐち一番しぼり　１０００ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,1000,81,817,817
3545,138267806,奥の松あだたら吟醸７２０ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,720,13,138,138
3788,8102317,金水晶　純米吟醸ひやおろし　７２０ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,720,81,810,810
3789,8104137,大和川　カスモチ原酒弥右ヱ門　１８００ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,1800,81,810,810
3790,8104502,奥出雲　本格どぶろくＤ－２６９　７００ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,700,81,810,810
3791,8106537,黒龍　九頭龍純米　７２０ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,720,81,810,810
3792,8121790,天狗舞　旨醇　１８００ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,1800,81,812,812
3793,8147301,花春　純米酒濃醇中辛口　１８００ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,1800,81,814,814
3794,8217721,ほまれ　華吹雪純米　１８００ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,1800,82,821,821
3795,8253279,國権　純米大吟醸金ラベル　１８００ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,1800,82,825,825
3796,J102370,福光屋　2018年おとうさん日本一　八年熟成 本格米焼酎720ｍｌ　44174　1本,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,720,J1,J10,J10
3797,YZ2601896,高木酒造 十四代　純米大吟醸秘蔵酒古酒（特注）７２０ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,720,YZ,YZ2,YZ2
3818,1936834,千代の光　１８００ｍｌ１本箱,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,1800,19,193,193
3896,305333409,賀茂鶴　吟醸原酒　初のみきり　７２０ＭＬ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,720,30,305,305
3897,3077399,石本酒造　別撰越乃寒梅 720ml,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,0,30,307,307
3940,4590026,清酒　箱　７２０ｍｌ用,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,720,45,459,459
4063,8131850,栄川　特別純米酒　１８００ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,1800,81,813,813
4064,8179586,ほまれ　からくち米だけの酒パック　２０００ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,2000,81,817,817
4065,8262530,金水晶　純米吟醸無濾過夢の香　７２０ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,720,82,826,826
4068,J102369,福光屋　2018年おとうさん日本一　純米大吟醸720ｍｌ　39506　1本,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,720,J1,J10,J10
4073,SUN6456453,６８　勝山酒造　純米吟醸　山田錦　３１日,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,0,SU,SUN,SUN
4099,1567939,0222ﾁﾁﾉﾋｸﾗﾁｮｸｶﾒｼﾞｭｸ1800ml,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,1800,15,156,156
4164,305372005,西の関　手造り純米酒　７２０ＭＬ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,720,30,305,305
4165,3139202,小江戸鏡山　鏡山　純米吟醸 720ml,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,720,31,313,313
4324,5920822,石本）越乃寒梅別撰,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,0,59,592,592
4326,7665,酔仙　大吟醸名入れラベル　７２０ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,720,76,766,766
4327,8105332,大和川　芳醇　１８００ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,1800,81,810,810
4328,8142351,栄川　特醸酒　７２０ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,720,81,814,814
4329,8142368,鶴乃江　純米大吟醸　７２０ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,720,81,814,814
4330,8142375,栄川　本醸造　１８００ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,1800,81,814,814
4331,8155962,加茂錦　無濾過吟醸　１８００ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,1800,81,815,815
4332,8167439,加茂錦　無濾過純米吟醸　３００ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,300,81,816,816
4333,8207289,旭　獺祭純米大吟醸２３箱入　７２０ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,0,82,820,820
4336,8916785,十四代　本丸　１．８Ｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,1800,89,891,891
4361,1110272,宮尾酒造　〆張鶴　雪　７２０ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,0,11,111,111
4434,3910924,朝日酒造久保田碧寿山廃大,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,0,39,391,391
4614,8105981,北関　北酒場ミニパック　１８０ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,180,81,810,810
4615,8167354,菊水　五郎八にごり酒　１８０ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,180,81,816,816
4616,8202963,今紫　どぶろく　４５０ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,0,82,820,820
4617,8236753,後藤　辯天純米梅酒　５００ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,500,82,823,823
4618,8254818,奥の松　特別純米酒　５００ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,500,82,825,825
4621,8593726,かじや 地酒_雪中梅_７２０ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,720,85,859,859
4640,1937251,★鮎正宗　普通酒　２本入　　　　　　　　１８００ｍｌｘ２,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,3600,19,193,193
