item_cd,item_name,itemnm,count,amount,quantity
4904230047698,アルパカ　カベルネメルロー,ＳＨ　アルパカ　カベルネ　メルロー１６赤３７５ｍｌ,21,8358,21
4904230047704,アルパカ　シャルドネセミヨン,ＳＨ　アルパカ　シャルドネ１６　白　３７５ｍｌ,15,7164,18
4904230047780,サンタＨ　アルパカピノノワー,サンタ・ヘレナ・アルパカ・ピノ・ノワールＳＣ　１６　７５０ｍｌ,62,32240,65
4904230049210,ニッカザ麦焼酎２５度７００ｍ,アサヒ ニッカ・ザ・麦焼酎_２５度_乙_７００ｍｌ,11,12576,12
4904230049562,ＡスタイルＢハイボールＴ３５,アサヒ スタイルバランス＜香り華やぐハイボールテイスト＞_３５０ｍｌ_缶,157,27342,279
4904230049852,アサヒ　かのか焙煎１．８Ｌ,アサヒ かのか焙煎まろやか仕立て_２５度_混和_麦_１．８Ｌ_パック,44,42310,45
4904230051077,アサヒ　スカイブルー　２７５,スカイブルー_２７５ｍｌ_瓶,7,1692,9
4904230051473,アルパカ　シラー７５０,ＳＨ　アルパカ・シラー赤　１７　７５０ｍｌ,29,14900,30
4904230051657,ブラックニッカ香る夜３５０,アサヒ ブラックニッカ＜ハイボール香る夜＞_３５０ｍｌ×２４_缶,2,524,3
4904230051817,アルパカ　Ｐシャルドネ　７５,ＳＨ　アルパカプレミアムシャルドネ１７白７５０ｍｌ,4,3920,4
4904230051824,アルパカプレミアム赤７５０,ＳＨ　アルパカ　プレミアムＣＳ１７　赤　７５０ｍｌ,13,13720,14
4904230051879,ＡスタイルＢりんごＳＰ３５０,アサヒ スタイルバランス＜完熟りんごスパークリング＞_３５０ｍｌ_缶,230,30674,313
4904230052241,アサヒ　贅沢搾りレモン　３５,アサヒ 贅沢搾り＜レモン＞_３５０ｍｌ_缶,282,36925,371
4904230052265,Ａ　贅沢搾りＧＦ　５００ｍｌ,アサヒ 贅沢搾り＜グレープフルーツ＞_５００ｍｌ_缶,45,10626,76
4904230052289,Ａ　贅沢搾りＧＦ　３５０ｍｌ,アサヒ 贅沢搾り＜グレープフルーツ＞_３５０ｍｌ_缶,406,58832,591
4904230052302,Ａ　贅沢搾り桃　５００ｍｌ,アサヒ 贅沢搾り＜桃＞_５００ｍｌ_缶,7,1820,13
4904230052326,Ａ　贅沢搾り桃　３５０ｍｌ,アサヒ 贅沢搾り＜桃＞_３５０ｍｌ_缶,471,57875,581
