item_cd,item_name,itemnm,count,amount,quantity
4906666111127,いいちこ　２５度　パック,三和酒類 いいちこ_２５度_乙_麦_１．８Ｌ_パック,180,310344,221
4906666111318,２５°　いいちこ　むぎ,三和酒類 いいちこ_２５度_乙_麦_９００ｍｌ,16,14844,17
4906666112124,いいちこ　２０度　パック,三和酒類 いいちこ_２０度_乙_麦_１．８Ｌ_パック,24,31955,26
4906666112315,単式２０度　いいちこ　麦,三和酒類 いいちこ_２０度_乙_麦_９００ｍｌ,4,2840,4
4906666112322,いいちこ　２０度　パック,三和酒類 いいちこ_２０度_乙_麦_９００ｍｌ_パック,8,5829,8
4906666112841,乙　２０°　いいちこ　　　　カップ（ペット）,三和酒類 いいちこ_２０度_乙_麦_２００ｍｌ_カップ,4,830,4
4906666121416,いいちこ　２５度シルエット,三和酒類 いいちこシルエット_２５度_乙_麦_７２０ｍｌ,4,5659,6
49294415,菊正宗　キクマサピン　　　　パック,菊正宗 ＮＢ_ピン_１８０ｍｌ_パック,4,688,5
4930232525018,さつま島美人２５度パック,長島研醸 さつま島美人_２５度_乙_芋_１．８Ｌ_パック,5,7426,5
4930391130320,菊水の辛口　　本醸造　清酒,菊水酒造 地酒_菊水の辛口本醸造酒_７２０ｍｌ,2,1536,2
4930391140121,菊水　ふなぐち一番しぼり,菊水酒造 地酒_ふなぐち菊水一番しぼり本醸造酒_２００ｍｌ_缶,10,3569,14
4930391160129,菊水　白キャップ,菊水酒造 地酒_菊水白キャップ_７２０ｍｌ,1,652,1
4930391160150,白缶,菊水酒造 地酒_菊水白_１８０ｍｌ_缶,3,888,5
4934317002081,薩摩宝山　芋２５°白麹仕込　芋,西酒造 薩摩宝山_２５度_乙_芋_７２０ｍｌ,1,884,1
4935787202421,真野鶴本醸造辛口　鶴カップ,尾畑酒造 地酒_真野鶴辛口鶴本醸造酒_１８０ｍｌ,1,246,1
4940209140380,今西清兵衛　本醸造生貯蔵酒,今西清兵衛商店 地酒_春鹿生貯蔵酒本醸造酒_３００ｍｌ×１２,1,372,1
4940209200015,春鹿　純米　超辛口,今西清兵衛商店 地酒_春鹿超辛口純米酒_１．８Ｌ,1,2480,1
4942574141818,残波カップ　１４度,比嘉　残波カップ１４度　２００ｍｌ,1,138,1
4943133206429,賜杯桜　蔵そだちパック,賜杯桜　蔵そだち　２ｌ,2,1395,2
4943569152116,越の日本桜　大吟醸　越後桜,越後桜酒造 地酒_越後桜大吟醸酒_７２０ｍｌ,2,1695,2
4943569273453,白鳥蔵パック,越後桜酒造 地酒_越後桜白鳥蔵_２Ｌ_パック,2,1914,2
4943569283452,白鳥蔵パック,越後桜酒造 地酒_越後桜白鳥蔵_１８０ｍｌ_パック,11,2880,30
4945252498266,西の関　花,萱島酒造 地酒_西の関花印普通酒_７２０ｍｌ,1,738,1
4946697761106,２２°壱岐ス－パ－ゴ－ルド,玄海酒造 壱岐スーパーゴールド_２２度_乙_麦_７２０ｍｌ,3,3512,3
4950198262505,清酒上撰広島の酒白牡丹,白牡丹酒造 地酒_白牡丹上撰普通酒_２Ｌ_パック,1,1428,1
4950198362403,清酒広島の酒白牡丹,白牡丹酒造 地酒_白牡丹広島の酒普通酒_２００ｍｌ_カップ,2,503,3
4951693140381,海堂　芋パック２５°,濱田酒造 海童_２５度_乙_芋_１．８Ｌ_パック,1,1600,1
4951693191239,２５°隠し蔵　麦パック,濱田酒造 隠し蔵_２５度_乙_麦_１．８Ｌ_パック,5,7400,5
4951812230511,若松黒薩州麦パック,若松酒造 薩州麦_２５度_乙_麦_２．７Ｌ,1,1597,1
4954933300040,久米島の久米仙　３０度,久米島の久米仙 久米島の久米仙_３０度_乙_６００ｍｌ,1,827,1
4955250008503,大分　麦焼酎　二階堂２５度,二階堂酒造 大分むぎ焼酎二階堂_２５度_乙_１．８Ｌ,8,12780,8
4955250009500,大分　麦焼酎　二階堂２５度,二階堂酒造 大分むぎ焼酎二階堂_２５度_乙_９００ｍｌ,20,19745,22
4955597325288,越乃雪椿　純米吟醸酒「花」,雪椿酒造 地酒_花越乃雪椿純米吟醸酒_７２０ｍｌ,1,967,1
49581119,連続２５度むぎこーん,中国醸造 ワンショットむぎこーん_２５度_混和_麦_１００ｍｌ_パック,3,651,7
49581126,連続２０度むぎこーん,中国醸造 ワンショットむぎこーん_２０度_混和_麦_１００ｍｌ_パック,1,168,2
4958782252017,米焼酎　白岳　２５度,高橋酒造 白岳_２５度_乙_米_１．８Ｌ_パック,2,3376,2
4958782252024,２５°白岳　パック,高橋酒造 白岳_２５度_乙_米_９００ｍｌ_パック,1,779,1
4958782258033,米焼酎　白岳　しろ　２５度,高橋酒造 しろ_２５度_乙_米_７２０ｍｌ,3,2992,3
4960689571306,かみなり三代　パック,京姫酒造 地酒_かみなり三代_１８０ｍｌ_パック,6,939,10
4965647401251,越の寒中梅　特別本醸造,新潟銘醸 地酒_越の寒中梅本醸造酒_７２０ｍｌ,1,719,1
49677058,月桂冠　上撰,月桂冠 ＮＢ_月桂冠上撰普通酒_３００ｍｌ,1,328,1
49677225,月桂冠つきエコカップ,月桂冠 ＮＢ_月エコカップ普通酒_２１０ｍｌ_カップ,25,3143,27
4969265711006,神鷹　パック,江井ヶ嶋酒造 地酒_神鷹かみたか普通酒_９００ｍｌ_パック,4,2349,4
4969265771703,白玉　ホワイトボール２５度,ﾎﾜｲﾄﾎﾞ-ﾙ 25ﾄﾞ ｺｳ 4000ML,5,10064,5
4969516140067,精撰　高清水,秋田酒類製造 地酒_精撰高清水普通酒_７２０ｍｌ,3,1791,3
4969516410320,高清水　辛口　さけパック,秋田酒類製造 地酒_高清水辛口普通酒_１．８Ｌ_パック,1,1365,1
4969516410337,高清水　辛口パック,秋田酒類製造 地酒_精撰高清水辛口普通酒_９００ｍｌ_パック,4,2950,4
4971495000034,雲海いいとも　麦パック　　　２５°,雲海酒造 いいとも_２５度_乙_麦_パック,4,5734,4
4971495000089,そば焼酎　雲海　２５度,雲海酒造 そば雲海_２５度_乙_そば_９００ｍｌ,1,927,1
4971495000218,そば焼酎　雲海　２５度　　　パック,雲海酒造 そば雲海_２５度_乙_そば_１．８Ｌ_パック,10,15773,10
4971495010033,２５°雲海　そば　スリムＰ,雲海酒造 そば雲海_２５度_乙_そば_９００ｍｌ_パック,1,917,1
4971495010040,２５°いいともスリムパック,雲海酒造 いいとも_２５度_乙_麦_９００ｍｌ_パック,1,798,1
4971495019029,乙　２５度　木挽ＢＬＵＥ,雲海酒造 木挽ＢＬＵＥ_２５度_乙_芋_９００ｍｌ,1,867,1
4971495019036,乙　２５°　木挽ＢＬＵＥ　　パック,雲海酒造 木挽ＢＬＵＥ_２５度_乙_芋_パック,3,4051,3
4971650003924,上撰菊正宗さけパック,菊正宗酒造 ＮＢ_菊正宗上撰本醸造酒_１．８Ｌ_パック,1,1297,1
4971650005799,上撰　菊正宗　樽酒　カップ,菊正宗酒造 ＮＢ_菊正宗上撰樽酒_１８０ｍｌ_カップ,1,598,3
4971650146140,菊正宗　ピン　淡麗仕立　　　パック,菊正宗酒造 ＮＢ_菊正宗ピン淡麗仕立_２Ｌ_パック,4,3979,4
4971650205779,菊正宗　しぼりたて　　　　　ギンパック,菊正宗酒造 ＮＢ_菊正宗しぼりたてギン_１．８Ｌ_パック,4,4263,4
4971650205786,菊正宗　しぼりたて　　　　　ギンパック,菊正宗酒造 ＮＢ_菊正宗しぼりたてギン_９００ｍｌ_パック,2,1180,2
4971686225543,界（かい）　パック,小山本家酒造 地酒_界_２Ｌ_パック,2,1595,2
4971686361951,くらのすけ　パック,小山本家　くらのすけ　パック　１８０ｍｌ,5,891,12
4971980038177,ゴードービッグマン　２５°,合同酒精 ビッグマン_２５度_甲_４Ｌ_ペット,2,5993,3
4971980038283,ゴードービッグマン　２５°,合同酒精 ビッグマン_２５度_甲_２．７Ｌ_ペット,8,9440,8
4971980038412,２０°ビッグマン　ペット,合同酒精 ビッグマン_２０度_甲_４Ｌ_ペット,2,3596,2
4971980038665,２０°ビッグマン　ペット,合同酒精 ビッグマン_２０度_甲_２．７Ｌ_ペット,2,3390,3
4971980038894,２０°ビッグマン　ペット,合同酒精 ビッグマン_２０度_甲_２２０ｍｌ_カップ,1,168,1
4971980038900,ビッグマン　２５°カップ,合同酒精 ビッグマン_２５度_甲_２２０ｍｌ_カップ,4,1521,10
4971980105435,ビッグマン２０°エコペット,合同酒精 ビッグマン_２０度_甲_２．７Ｌ_ペット,1,1180,1
4971980112891,３５度ホワイトリカー　　　　ゴードーパック,合同酒精 ホワイトリカーゴードー_３５度_甲_１．８Ｌ_パック,12,16515,13
4971980119142,合同　麦盛り　２５度　　　　パック,合同酒精 麦盛り_２５度_混和_麦_１．８Ｌ_パック,77,78199,87
4971980126447,合同　麦のかおり　２５°,合同酒精 麦のかおり_２５度_混和_麦_２Ｌ,3,2801,3
4971980131946,酎ハイ専科　パック　２５°,合同酒精 酎ハイ専科_２５度_甲_９００ｍｌ_パック,1,688,1
4971980143321,麦蔵スーパーカップ１８°,合同酒精 ＳＵＰＥＲ麦蔵_１８度_乙_麦_２００ｍｌ_カップ,1,314,2
4971980184379,合同　芋盛り　２５度　　　　パック,合同酒精 芋盛り_２５度_混和_芋_１．８Ｌ_パック,41,42467,48
