item_cd,item_name,itemnm,count,amount,quantity
4967290200175,桜顔　北の寒桜パック１８００ｍｌ,桜顔酒造 地酒_桜顔北の寒梅_１．８Ｌ_パック,4,4422,5
4967290200199,桜顔　北の寒桜　　　９００ｍｌ,桜顔酒造 地酒_桜顔北の寒梅_９００ｍｌ_パック,3,1703,3
4967290730467,南部富士　　　　　　特別純米酒７２０ｍｌ,桜顔酒造 地酒_南部富士特別純米酒_７２０ｍｌ,1,1019,2
4967860038702,秋田の雪パック　　　３０００ｍｌ,秋田県醗酵　秋田の雪　パック　３Ｌ,65,93243,89
4967860038726,秋田の雪パック　　　２０００ｍｌ,秋田の雪　パック　２ｌ,48,47091,61
4967860038757,秋田の雪パック　　　９００ｍｌ,秋田県醗酵工業 地酒_秋田の雪_９００ｍｌ_パック,42,19580,42
4967860081708,秋田県醗酵　　　　　合成とんとん拍子　　３０００ＭＬ,秋田県醗酵工業 合成清酒_とんとん拍子_３Ｌ_パック,14,12953,15
4967860120742,新光ホワイトリカー　３５°パック　　　　１８００ｍｌ,秋田県醗酵工業 新光_３５度_甲_１．８Ｌ_パック,2,1913,2
4967860141044,そふと新光ペット　　２５°４０００ｍｌ,秋田県醗酵工業 そふと新光_２５度_甲_４Ｌ_ペット,51,134401,62
4967860141075,そふと新光ペット　　２５°２７００ｍｌ,秋田県醗酵工業 そふと新光_２５度_甲_２．７Ｌ_ペット,39,68374,47
4967860141150,そふと新光　２５°　１８００ｍｌ,秋田県醗酵工業 そふと新光_２５度_甲_１．８Ｌ_ペット,9,11492,11
4967860141310,そふと新光　２５°　７２０ｍｌ,秋田県醗酵工業 そふと新光_２５度_甲_７２０ｍｌ,1,645,1
4967860141532,そふと新光カップ　　２５°２００ｍｌ,秋田県醗酵工業 そふと新光_２５度_甲_２００ｍｌ_カップ,6,1692,9
4967860142331,あいぼう　２５°　　７２０ｍｌ,秋田県醗酵工業 あいぼう_２５度_甲_７２０ｍｌ,1,730,1
4967860161042,そふと新光ペット　　２０°　４０００ｍｌ,秋田県醗酵工業 そふと新光_２０度_甲_４Ｌ_ペット,26,57681,31
