item_cd,item_name,itemnm,count,amount,quantity
4901004010988,アサヒ　ギフトＡＳ－３Ｎ,アサヒ スーパードライ缶ビールセット_ＡＳ‐３Ｎ,10,32400,12
4901004011701,アサヒ　クリアアサヒ２５０ｍ,アサヒ クリアアサヒ_２５０ｍｌ_缶,15,2646,27
4901004018298,アサヒ　レッドアイ３５０ｍｌ,アサヒ レッドアイ_３５０ｍｌ_缶,155,40848,276
4901004019554,スーパードライ３５０ｍｌＣＳ,アサヒ スーパードライ_３５０ｍｌ×６×４_缶,3,12930,3
4901004027160,アサヒ　オフ　５００ｍｌ,アサヒ アサヒオフ_５００ｍｌ_缶,366,82630,516
4901004027184,アサヒ　オフ　３５０ｍｌ,アサヒ アサヒオフ_３５０ｍｌ_缶,425,74140,643
4901004027207,アサヒ　オフ　５００ｍｌ×６,アサヒ アサヒオフ_５００ｍｌ×６_缶,139,140512,160
4901004027221,アサヒ　オフ　５００ｍｌケー,アサヒ アサヒオフ_５００ｍｌ×６×４_缶,1,3512,1
4901004027238,アサヒ　オフ　３５０ｍｌ×６,アサヒ アサヒオフ_３５０ｍｌ×６_缶,759,534137,892
4901004027245,アサヒ　オフ　３５０ｍｌケー,アサヒ アサヒオフ_３５０ｍｌ×６×４_缶,31,86040,36
4901004030832,Ａドライプレミアム豊醸　５０,アサヒ ドライプレミアム豊醸_５００ｍｌ_缶,3,894,3
4901004030856,Ａドライプレミアム豊醸　３５,アサヒ ドライプレミアム豊醸_３５０ｍｌ_缶,10,3525,17
4901004030894,ＡドライＰ　豊醸３５０×６缶,アサヒ ドライプレミアム豊醸_３５０ｍｌ×６_缶,2,2556,2
4901004030962,ＡスタイルＦパーフェクト３５,アサヒ スタイルフリーパーフェクト_３５０ｍｌ_缶,136,31866,245
4901004031006,ＡＳＦパーフェクト３５０×６,アサヒ スタイルフリーパーフェクト_３５０ｍｌ×６_缶,84,78336,102
4901004031020,ＡＳＦパーフェクト３５０ケー,アサヒ スタイルフリーパーフェクト_３５０ｍｌ×６×４_缶,1,3072,1
4901004031907,Ａクリアアサヒ関西仕立て３５,アサヒ クリアアサヒ_関西仕立て_３５０ｍｌ_缶,6,824,7
4901004031952,クリアＡ関西仕立て３５０×６,アサヒ クリアアサヒ_関西仕立て_３５０ｍｌ×６_缶,3,1794,3
4901004033703,アサヒＳＤ　ドライＢ３５０ｍ,アサヒ スーパードライドライブラック_３５０ｍｌ_缶,92,23794,120
4901004033758,アサヒＳＤドライＢ　３５０×,アサヒ スーパードライドライブラック_３５０ｍｌ×６_缶,6,6768,6
4901004034373,Ａクリアアサヒ贅沢Ｚ５００ｍ,アサヒ クリアアサヒ贅沢ゼロ_５００ｍｌ_缶,157,36480,228
4901004034397,Ａクリアアサヒ贅沢Ｚ３５０ｍ,アサヒ クリアアサヒ贅沢ゼロ_３５０ｍｌ_缶,275,50373,437
4901004034427,Ａクリアアサヒ贅沢Ｚ５００×,アサヒ クリアアサヒ贅沢ゼロ_５００ｍｌ×６_缶,40,36550,43
4901004034441,Ａクリアアサヒ贅沢Ｚ３５０×,アサヒ クリアアサヒ贅沢ゼロ_３５０ｍｌ×６_缶,346,235692,394
4901004034458,Ａクリアアサヒ贅沢Ｚ３５０Ｃ,アサヒ クリアアサヒ贅沢ゼロ_３５０ｍｌ×６×４_缶,3,7176,3
4901004034946,アサヒ　ＪＳ－３Ｎ,アサヒ スーパードライジャパンスペシャル缶ビールセット_ＪＳ‐３Ｎ,4,61160,22
4901004034953,アサヒ　ＪＳ－５Ｎ,アサヒ スーパードライジャパンスペシャル缶ビールセット_ＪＳ‐５Ｎ,2,18720,4
4901004035301,スーパードライ５００ｍｌＣＳ,アサヒ スーパードライ_５００ｍｌ×６×４_缶,1,6152,1
4901004035400,スーパードライ３５０ｍｌＣＳ,アサヒ スーパードライ_３５０ｍｌ×６×４_缶,63,335944,78
4901004037428,アサヒス－パ－ドライ　６缶,アサヒ スーパードライ_１３５ｍｌ×６_缶,91,51744,98
4901004038807,ペローニナストロアズーロ３３,ペローニ_ナストロアズーロ_３３０ｍｌ_瓶,10,3498,11
4901004038982,アサヒ　ＦＳ－３Ｎ,アサヒ スーパードライファミリーセット_ＦＳ‐３Ｎ,3,11120,4
4901004038999,アサヒ　ＦＳ－４Ｎ,アサヒ スーパードライファミリーセット_ＦＳ‐４Ｎ,3,11340,3
4901004039002,アサヒ　ＦＳ－５Ｎ,アサヒ スーパードライファミリーセット_ＦＳ‐５Ｎ,1,4680,1
4901004039026,スタイルフリー　５００ｍｌ,アサヒ スタイルフリー_５００ｍｌ_缶,434,124614,699
4901004039040,スタイルフリー　３５０ｍｌ,アサヒ スタイルフリー_３５０ｍｌ_缶,463,94548,726
4901004039064,スタイルフリー　５００ｍｌ×,アサヒ スタイルフリー_５００ｍｌ×６_缶,134,147396,142
4901004039088,スタイルフリー　３５０ｍｌ×,アサヒ スタイルフリー_３５０ｍｌ×６_缶,418,354752,494
4901004039095,スタイルフリー３５０ｍｌケー,アサヒ スタイルフリー_３５０ｍｌ×２４_缶,3,11488,4
4901004039675,アサヒ　グランマイルド　３５,アサヒ グランマイルド_３５０ｍｌ_缶,23,5009,26
4901004039736,Ａグランマイルド３５０×６缶,アサヒ グランマイルド_３５０ｍｌ×６_缶,5,4958,5
4901004040190,アサヒ　ＪＳＷ－３,アサヒ スーパードライ・ジャパンスペシャルダブルセット_ＪＳＷ‐３,1,2780,1
4901004042132,クリアアサヒプライムＲ５００,アサヒ クリアアサヒプライムリッチ_５００ｍｌ_缶,128,26610,166
4901004042156,クリアアサヒプライムＲ３５０,アサヒ クリアアサヒプライムリッチ_３５０ｍｌ_缶,276,44724,388
4901004042170,クリアアサヒＰＲ　５００×６,アサヒ クリアアサヒプライムリッチ_５００ｍｌ×６_缶,17,14926,17
4901004042194,クリアアサヒＰＲ　３５０×６,アサヒ クリアアサヒプライムリッチ_３５０ｍｌ×６_缶,146,99802,159
4901004042217,クリアアサヒＰＲ　３５０ケー,アサヒ クリアアサヒプライムリッチ_３５０ｍｌ×６×４_缶,4,9926,4
4901004044310,アサヒ　極上　キレ味５００ｍ,アサヒ 極上＜キレ味＞_５００ｍｌ_缶,154,32250,201
4901004044334,アサヒ　極上　キレ味３５０ｍ,アサヒ 極上＜キレ味＞_３５０ｍｌ_缶,358,57732,501
4901004044358,Ａ　極上キレ味５００ｍｌ×６,アサヒ 極上＜キレ味＞_５００ｍｌ×６_缶,29,25500,30
4901004044372,Ａ　極上キレ味３５０ｍｌ×６,アサヒ 極上＜キレ味＞_３５０ｍｌ×６_缶,335,214062,359
4901004044389,Ａ　極上キレ味３５０ｍｌケー,アサヒ 極上＜キレ味＞_３５０ｍｌ×６×４_缶,4,9486,4
4901004044648,クリアアサヒ５００ｍｌ×６,アサヒ クリアアサヒ_５００ｍｌ×６_缶,1,3512,4
4901004045676,Ａスーパードライ瞬冷辛口５０,アサヒ スーパードライ瞬冷辛口_５００ｍｌ_缶,37,12434,48
4901004045690,Ａスーパードライ瞬冷辛口３５,アサヒ スーパードライ瞬冷辛口_３５０ｍｌ_缶,107,27391,140
4901004045737,Ａ　ＳＤ瞬冷辛口５００×６缶,アサヒ スーパードライ瞬冷辛口_５００ｍｌ×６_缶,2,3076,2
4901004045751,Ａ　ＳＤ瞬冷辛口３５０×６缶,アサヒ スーパードライ瞬冷辛口_３５０ｍｌ×６_缶,31,34496,32
4901004046451,クリアアサヒ　夏日和３５０ｍ,アサヒ クリアアサヒ_夏日和_３５０ｍｌ_缶,1,170,2
4901004046536,クリアアサヒ夏日和３５０ケ－,アサヒ クリアアサヒ_夏日和_３５０ｍｌ×６×４_缶,1,4000,2
4901004047472,アサヒ　ゴールドラベル　５０,アサヒ ゴールドラベル_５００ｍｌ_缶,6,1548,6
4901004047496,アサヒ　ゴールドラベル　３５,アサヒ ゴールドラベル_３５０ｍｌ_缶,33,7086,37
4901004047540,Ａ　ゴールドラベル３５０×６,アサヒ ゴールドラベル_３５０ｍｌ×６_缶,3,3254,3
4901004047656,Ａクリアアサヒ秋の宴３５０ｍ,アサヒ クリアアサヒ秋の宴_３５０ｍｌ_缶,30,5224,52
4901004047694,Ａクリアアサヒ秋の宴３５０×,アサヒ クリアアサヒ秋の宴_３５０ｍｌ×６_缶,7,5568,11
4901004047854,アサヒ　紅　３５０ｍｌ,アサヒ 紅_３５０ｍｌ_缶,44,9450,49
4901004047892,アサヒ　紅　３５０ｍｌ×６缶,アサヒ 紅_３５０ｍｌ×６_缶,6,5864,6
4901004048028,ＳＤ　ロイヤルリミテッド３５,アサヒ スーパードライロイヤルリミテッド_３５０ｍｌ_缶,147,35442,179
4901004048066,ＳＤ　ロイヤルＬ３５０×６缶,アサヒ スーパードライロイヤルリミテッド_３５０ｍｌ×６_缶,38,41064,38
4901004048073,ＳＤ　ロイヤルＬ　３５０ケー,アサヒ スーパードライロイヤルリミテッド_３５０ｍｌ×６×４_缶,1,4312,1
4901004048295,クラフトＳブリティッシュ３５,アサヒ クラフトスタイルブリティッシュ_３５０ｍｌ_缶,469,61581,537
4901004048332,ＣＳブリティッシュ３５０×６,アサヒ クラフトスタイルブリティッシュ_３５０ｍｌ×６_缶,80,48520,80
4901004048370,ＡクラフトＳ　アメリカン３５,アサヒ クラフトスタイルアメリカン_３５０ｍｌ_缶,440,58498,511
4901004048417,Ａ　ＣＳアメリカン３５０×６,アサヒ クラフトスタイルアメリカン_３５０ｍｌ×６_缶,70,42590,70
4901004048479,アサヒ　ジャパンＪＨＷ－３,アサヒ スーパードライジャパンスペシャル２種セット_ＪＨＷ‐３,1,2780,1
4901004048516,アサヒ　東京２０２０デザイン,アサヒ スーパードライ缶ビールセット_ＬＹ‐３Ｎ,1,5560,2
4901004811950,予約　ＧＤボジョレーヌーヴォ,予約 ＧＤボジョレーヌーヴォー,10,21780,11
4901030055069,月桂冠　特撰本醸造　７２０ｍ,月桂冠 ＮＢ_特撰本醸造酒_７２０ｍｌ,1,1756,2
4901030101018,月桂冠さけパック上撰　２Ｌ,月桂冠 ＮＢ_上撰_２Ｌ_パック,27,32346,27
4901030140017,月桂冠さけぱっく上撰９００ｍ,月桂冠 ＮＢ_上撰_９００ｍｌ_パック,1,798,1
4901030195062,月桂冠　生酒　２８０ｍｌ,月桂冠 ＮＢ_生酒_２８０ｍｌ,1,596,2
4901030205969,月桂冠山田錦純米１．８Ｌ,月桂冠 ＮＢ_山田錦純米酒_１．８Ｌ_パック,25,32346,27
4901030212660,月桂冠　大吟醸パック１８００,月桂冠 ＮＢ_大吟醸酒_１．８Ｌ_パック,3,5094,3
4901030214169,月桂冠　糖質ゼロ１．８ｌパッ,月桂冠 ＮＢ_糖質ゼロ_１．８Ｌ_パック,22,24908,26
4901030229217,月桂冠　つき　３Ｌ,月桂冠 ＮＢ_つき_３Ｌ_パック,17,23816,18
4901030232019,月桂冠　つき　２Ｌパック,月桂冠 ＮＢ_つき_２Ｌ_パック,74,66212,74
4901030236666,月桂冠　糖質ゼロパック９００,月桂冠 ＮＢ_糖質ゼロ_９００ｍｌ_パック,16,9568,16
4901030237267,月桂冠山田錦純米９００ｍｌ,月桂冠 ＮＢ_山田錦純米酒_９００ｍｌ_パック,5,4886,7
4901030239414,月桂冠定番酒つき９００ｍｌ,月桂冠 ＮＢ_つき_９００ｍｌ,25,14950,25
4901030252260,月桂冠山田錦純米２１０ｍｌ,月桂冠 ＮＢ_山田錦純米酒_２１０ｍｌ_カップ,18,5886,27
4901030257517,月桂冠　にごり酒　３００ｍｌ,月桂冠 ＮＢ_にごり酒_３００ｍｌ,10,4536,12
4901030275962,月桂冠山田錦特別純米３００ｍ,月桂冠 ＮＢ_山田錦特別純米酒_３００ｍｌ_カップ,13,5625,15
4901030292266,ＴＨＥＳＨＯＴ大吟醸１８０ｍ,月桂冠 ＮＢ_ＴＨＥＳＨＯＴ華やぐドライ_１８０ｍｌ,3,992,6
4901030292365,月桂冠　ザ・ショット艶めくリ,月桂冠 ＮＢ_ＴＨＥＳＨＯＴ艶めくリッチ_１８０ｍｌ,4,868,5
4901030305966,月桂冠　キレイ梅酒　３００ｍ,月桂冠 キレイ梅酒_３００ｍｌ,5,2148,6
