jan_2digits,jancd
0,1
00,2645
01,1932
02,557
03,333
04,5634
05,510
06,757
07,962
08,2867
09,653
10,627
11,226
12,83
13,104
14,673
15,160
16,91
17,346
18,161
19,225
2,1
20,7659
21,1719
22,669
23,222
24,8159
25,1027
26,527
27,324
28,312
29,497
30,972
31,1696
32,2375
33,1802
34,1797
35,1538
36,210
37,1845
38,149
39,218
4,1
40,4122
41,385
42,451
43,405
44,146
45,41442
46,158
47,665
48,239
49,159792
4F,7
5,1
50,2689
51,63
52,79
53,135
54,469
55,67
56,428
57,141
58,51
59,172
6,1
60,1213
61,521
62,437
63,177
64,55
65,23
66,57
67,127
68,267
69,1045
6A,100
70,66
71,171
72,125
73,147
74,108
75,239
76,99
77,480
78,1502
79,48
80,5787
81,1614
82,784
83,135
84,4079
85,225
86,71
87,378
88,430
89,278
9,1
90,438
91,86
92,430
93,1378
94,805
95,80
96,138
97,82
98,49
99,285
A5,27
A6,68
A7,45
A8,6
A9,3
AA,335
BU,6
D0,141
DA,15
DK,22
E3,65
E4,6
E5,3
E6,35
F0,258
H8,5
H9,39
HA,19
J0,85
J1,24
J2,44
J3,107
J4,41
J5,4
J6,135
J8,52
J9,111
K2,1587
K3,3
K8,17
KE,27
KI,46
M4,2
MA,10
N4,24
N6,19
N8,24
P0,94
P1,67
P2,154
P3,16
P4,80
P5,2
P6,88
P7,62
P8,17
P9,9
SU,52
TA,18
TK,3
TO,5
U0,8
W0,14
W1,36
W3,9
W4,4
W5,34
W6,90
Y0,17
YZ,11
bi,3
ck,6
da,1
