item_cd_2,item_name_1,itemnm,count,amount,quantity
3760104620302,シャトー　ガシ　ボルドー　７５０ｍｌ,シャトー・ド・ガシ２０１０,4,5920,4
4001432195209,ツエラー　シュワルツカッツ　７５０ｍｌ,ツェラー・シュヴァルツ・カッツェ_７５０ｍｌ,11,7182,9
4001486939002,ドクターティムース　マルチヴィタヴィーノ７５０ｍｌ,ドクターデムース　マルチヴィタヴィーノ　７５０ｍｌ,1,648,1
4004068110080,リープフラウミル　マドンナ　７５０ｍｌ,マドンナ・リープフラウミルヒ_リースリング/ミュラートゥルガウ_７５０ｍｌ,19,17062,19
4004068120072,リープフラウミル　マドンナ　３７５ｍｌ,リープフラウミルヒ　マドンナ　３７５ｍｌ,2,1396,2
400658086409,清酒カートン　ワンタッチ一升瓶１本用　Ｋ・２０　関西,,4,460,4
400658086508,清酒カートン　ワンタッチ一升瓶２本用　Ｋ・２１　関西,,1,160,1
400658301632,甲斐商店　伊佐美芋２５度　１８００ｍｌ,,2,8360,2
400658302806,森伊蔵醸造　森伊蔵　２５度　芋　７２０ｍｌ,,1,21800,1
400658390025,黒木本店　喜六　７２０ｍｌ,,2,3360,2
400658390032,尾鈴山蒸留所　山ねこ　７２０ｍｌ,,1,1980,1
400658795042,ワインギフトボックス　１本用布なし関西,,1,200,1
400658795127,ワインギフトボックス　２本　布なし　関西,,2,554,2
4010223013516,ヴェルテンブルガー　白ビール　５００ｍｌ,ヴェルテンブルガー_白ビール_５００ｍｌ_瓶,7,5382,9
45069086,月桂冠　ザカップ上撰　２１０ｍｌ,月桂冠 ＮＢ_上撰月桂冠普通酒_２１０ｍｌ,121,24930,159
4513034050102,増本　薄桜　純米酒　３００ｍｌ,増本藤兵衛酒造場 地酒_薄桜純米酒_３００ｍｌ,2,820,2
4514657001014,真露　マッコリ　１０００ｍｌ,眞露 ＪＩＮＮＲＯ_マッコリ_１Ｌ,60,36182,79
4514874002016,ヴァルグラン　プレミアムルージュ　３７５ｍｌ,ヴァルグラン　プレミアム　ルージュ　３７５ｍｌ,26,10260,27
4514874002023,ヴァルグラン　プレミアムブラン　３７５ｍｌ,ヴァルグラン　プレミアム　ブラン　３７５ｍｌ,12,4560,12
4514874002771,ルート　デュ　ソレイユ　オーガニック　ルージュ　３７５ｍｌ,Ｒデュソレイユ　オーガニックルージュ　３７５,3,1614,3
4514874002788,ルート　デュ　ソレイユ　オーガニック　ブラン３７５ｍｌ,Ｒデュソレイユ　オーガニック　ブラン　３７５ｍｌ,3,1614,3
4515445800048,コエド　伽羅　３５０ｍｌ,協同商事 コエド_伽羅_３５０ｍｌ_缶,7,1855,7
4515445800567,コエド　毬花　３５０ｍｌ,協同商事 コエド_毬花_３５０ｍｌ_缶,42,11395,43
4515841006020,銀河高原　小麦のビ・ル　３５０ｍｌ,銀河高原ビール 小麦のビール_３５０ｍｌ_缶,71,24056,97
