jancd,makercd,itemnm,itemkn,tanka,itemkikaku,itemtani,irisu,width,height,depth,jcat1cd,jcat2cd,jcat3cd,jcat4cd,jcatnm,scat1cd,scat2cd,scat3cd,scat4cd,scat1nm,scat2nm,scat3nm,scat4nm,syubaiflg,hatdate,instime,updtime,delete_flg
2400022404523,4901411,淡麗グリーン　350ml　ケース,,0,8400.0,ml,0,0,0,0,,,,,,014,041,003,002,飲料･酒類,ﾋﾞｰﾙ･発泡酒,発泡酒,発泡酒機能系,0,2017-06-14,2017-06-14 00:00:00,2019-10-23 00:00:00,0
2400022405544,4901411,淡麗極上生　350ml　ケース,,0,8400.0,ml,0,0,0,0,,,,,,014,041,003,001,飲料･酒類,ﾋﾞｰﾙ･発泡酒,発泡酒,発泡酒,0,2017-06-14,2017-06-14 00:00:00,2019-10-23 00:00:00,0
2400022487571,4901777,金麦　350ml　ケース　（新）,,0,8400.0,ml,0,0,0,0,,,,,,014,041,004,001,飲料･酒類,ﾋﾞｰﾙ･発泡酒,新ｼﾞｬﾝﾙ,新ｼﾞｬﾝﾙ,0,2017-06-14,2017-06-14 00:00:00,2019-10-23 00:00:00,0
2400022659022,4901777,金麦糖質75％OFF,,0,0.0,,0,0,0,0,,,,,,014,041,004,002,飲料･酒類,ﾋﾞｰﾙ･発泡酒,新ｼﾞｬﾝﾙ,新ｼﾞｬﾝﾙ機能系,0,2017-06-28,2017-06-28 00:00:00,2019-10-23 00:00:00,0
2400022659060,4901004,クリアアサヒ　プライムリッチ　（新）　500ml,,0,500.0,ml,1,0,0,0,,,,,,014,041,004,001,飲料･酒類,ﾋﾞｰﾙ･発泡酒,新ｼﾞｬﾝﾙ,新ｼﾞｬﾝﾙ,0,2017-06-28,2017-06-28 00:00:00,2019-10-23 00:00:00,0
2400022785660,4901777,角ハイボール,,0,0.0,,0,0,0,0,,,,,,014,083,001,002,飲料･酒類,RTD,ﾄﾞﾗｲ(食中)系,ﾄﾞﾗｲ中アル(4-7%),0,,2017-07-05 00:00:00,2019-10-23 00:00:00,0
2400022904733,4901777,サントリー 金麦_３５０ｍｌ×２４_缶,ｷﾝﾑｷﾞ350mlｹｰｽ,0,8400.0,ml,24,0,0,0,,,,,,014,041,004,001,飲料･酒類,ﾋﾞｰﾙ･発泡酒,新ｼﾞｬﾝﾙ,新ｼﾞｬﾝﾙ,0,,2017-07-12 00:00:00,2019-10-23 00:00:00,0
2400022909165,4901411,淡麗グリーン　350ml,,0,350.0,ml,1,0,0,0,,,,,,014,041,003,002,飲料･酒類,ﾋﾞｰﾙ･発泡酒,発泡酒,発泡酒機能系,0,,2017-07-12 00:00:00,2019-10-23 00:00:00,0
2400022939476,4901004,もぎたて　まるごと搾りオレンジライム,,0,0.0,,0,0,0,0,,,,,,014,083,002,001,飲料･酒類,RTD,柑橘系,柑橘高アル(8%以上),0,,2017-07-12 00:00:00,2019-10-23 00:00:00,0
2400022939483,4901004,もぎたて　まるごと搾りぶどう,,0,0.0,,0,0,0,0,,,,,,014,083,003,001,飲料･酒類,RTD,ﾊﾞﾗｴﾃｨ系,ﾊﾞﾗｴﾃｨ高アル(8%以上),0,,2017-07-12 00:00:00,2019-10-23 00:00:00,0
2400022939490,4901004,アサヒ もぎたて＜まるごと搾りレモン＞_缶,,0,0.0,,0,0,0,0,,,,,,014,083,002,001,飲料･酒類,RTD,柑橘系,柑橘高アル(8%以上),0,,2017-07-12 00:00:00,2019-10-23 00:00:00,0
2400022939520,4901880,麦とホップ　ザ・ゴールド　350ml　ケース　（新）,,0,0.0,,0,0,0,0,,,,,,014,041,004,001,飲料･酒類,ﾋﾞｰﾙ･発泡酒,新ｼﾞｬﾝﾙ,新ｼﾞｬﾝﾙ,0,,2017-07-12 00:00:00,2019-10-23 00:00:00,0
2400022939629,4901004,本生　アクアブルー　350ｍｌ　ケース　（新）,,0,0.0,,0,0,0,0,,,,,,014,041,003,002,飲料･酒類,ﾋﾞｰﾙ･発泡酒,発泡酒,発泡酒機能系,0,,2017-07-12 00:00:00,2019-10-23 00:00:00,0
