item_cd,clength,item_name,category1_cd,category1_name,category2_cd,category2_name,category3_cd,category3_name,category4_cd,category4_name
8069692347,10,ボーリュヴィンヤード　カベル,000037,酒類,903705,ワイン,342700,輸入ワイン,342702,中容量
8308520022,10,フランシスカン　カベルネ,000037,酒類,903705,ワイン,342700,輸入ワイン,342702,中容量
1208631361,10,ジョゼフ・ドルーアン　ラフォ,000037,酒類,903705,ワイン,342700,輸入ワイン,342702,中容量
72151200074,11,フレイヴィンヤード　カベルネ,000037,酒類,903705,ワイン,342700,輸入ワイン,342702,中容量
1098601007,10,ケンウッド　シックスリッジズ,000037,酒類,903705,ワイン,342700,輸入ワイン,342702,中容量
8590401440,10,モーゲン　コンコード　７５０,000037,酒類,903705,ワイン,342700,輸入ワイン,342702,中容量
8500001143,10,ティズデイル　シャルドネ７５,000037,酒類,903705,ワイン,342700,輸入ワイン,342702,中容量
8500001805,10,ティズデイル　ピノノワール,000037,酒類,903705,ワイン,342700,輸入ワイン,342702,中容量
8241580,7,ワイン１本用カートン,000037,酒類,903705,ワイン,342700,輸入ワイン,342790,その他輸入ワイン
1208651151,10,ジョゼフ・ドルーアンピノノワ,000037,酒類,903705,ワイン,342700,輸入ワイン,342702,中容量
72151200066,11,フレイヴィンヤード　Ｓブラン,000037,酒類,903705,ワイン,342700,輸入ワイン,342702,中容量
60173940502,11,キンズマラウリ　陶器ボトル７,000037,酒類,903705,ワイン,342700,輸入ワイン,342702,中容量
71512601122,11,モンテスクラシック白７５０ｍ,000037,酒類,903705,ワイン,342700,輸入ワイン,342702,中容量
8175380184,10,ニュートン　クラレット　７５,000037,酒類,903705,ワイン,342700,輸入ワイン,342702,中容量
8069692348,10,ＢＶ　プレステージ　シャルド,000037,酒類,903705,ワイン,342700,輸入ワイン,342702,中容量
8308520052,10,フランシスカンナパヴァレー,000037,酒類,903705,ワイン,342700,輸入ワイン,342702,中容量
1208696531,10,オレゴン　ピノノワール,000037,酒類,903705,ワイン,342700,輸入ワイン,342702,中容量
8224201041,10,ボタ・ミニ・カベルネ・ソーヴ,000037,酒類,903705,ワイン,342700,輸入ワイン,342702,中容量
8158432371,10,アヴァント・レッド・ブレンド,000037,酒類,903705,ワイン,342700,輸入ワイン,342702,中容量
8175380182,10,ニュートン　アンフィルタード,000037,酒類,903705,ワイン,342700,輸入ワイン,342702,中容量
8068601640,10,ノブクリーク　７５０ｍｌ,000037,酒類,903706,ウィスキー,342900,輸入ウィスキー,342902,中容量
25,2,スーパードライ３５０ｍｌＣＳ,000037,酒類,903708,ビール類,343200,ビール,343201,国産
8068693277,10,ピナクル　ウォッカ　７５０ｍ,000037,酒類,903707,リキュール,343000,ハードリキュール,343002,中容量
343401,6,リキュール系新ジャンル,000037,酒類,903708,ビール類,343400,第３のビール,343401,リキュール系新ジャンル
79603012494,11,友和貿易コナロングボード３５,000037,酒類,903708,ビール類,343200,ビール,343202,輸入
8068601049,10,ジムビーム　ライ　７００ｍｌ,000037,酒類,903706,ウィスキー,342900,輸入ウィスキー,342902,中容量
79603021497,11,コナファイアロックペールエー,000037,酒類,903708,ビール類,343200,ビール,343202,輸入
79603081492,11,友和　ハナレイアイランド３５,000037,酒類,903708,ビール類,343300,発泡酒,343390,その他発泡酒
61009720010,11,インディアンペールエール３５,000037,酒類,903708,ビール類,343200,ビール,343202,輸入
79603021494,11,コナ　ロングボード３５５ｍｌ,000037,酒類,903708,ビール類,343200,ビール,343202,輸入
343101,6,小容量,000037,酒類,903707,リキュール,343100,梅酒,343101,小容量
52,2,スーパードライ５００ｍｌＣＳ,000037,酒類,903708,ビール類,343200,ビール,343201,国産
8524618500,10,メーカーズＭレッドトップ３７,000037,酒類,903706,ウィスキー,342900,輸入ウィスキー,342902,中容量
85289200345,11,２タウンズメイドマリオン,000037,酒類,903708,ビール類,343200,ビール,343202,輸入
8060040002,10,チョーサーミード　７５０ｍｌ,000037,酒類,903701,酒,341100,雑酒,341190,その他雑酒
61009720006,11,ブロンドエール３５５ｍｌ,000037,酒類,903708,ビール類,343200,ビール,343202,輸入
342201,6,四合瓶・中容量５００ｍｌ,000037,酒類,903703,清酒,342200,瓶清酒,342201,四合瓶・中容量５００ｍｌ
71512690013,11,モンテスアルファピノノワール,000037,酒類,903705,ワイン,342700,輸入ワイン,342702,中容量
1208651561,10,ＤＤショレイレボーヌ７５０ｍ,000037,酒類,903705,ワイン,342700,輸入ワイン,342702,中容量
72151200065,11,Ｆヴィンヤード　ジンファンデ,000037,酒類,903705,ワイン,342700,輸入ワイン,342702,中容量
